Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DATALOGGER_BP_V1.brd" as of: 21/03/2021 01:04 a. m.
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,4.134,1.610,0
C2,Bottom,3.085,1.599,0
C3,Bottom,2.032,1.641,0
C4,Bottom,0.987,1.630,0
C5,Bottom,4.138,0.805,0
C6,Bottom,3.087,0.812,0
C7,Bottom,2.036,0.809,0
C8,Bottom,0.984,0.809,0
C9,Bottom,4.232,1.837,180
C10,Bottom,3.998,1.838,0
C11,Bottom,3.206,1.838,180
C12,Bottom,2.943,1.837,0
C13,Bottom,2.174,1.853,180
C14,Bottom,1.897,1.851,0
C15,Bottom,1.121,1.823,180
C16,Bottom,0.857,1.819,0
C17,Bottom,4.277,1.040,180
C18,Bottom,3.999,1.040,0
C19,Bottom,3.225,1.040,180
C20,Bottom,2.944,1.038,0
C21,Bottom,2.171,1.037,180
C22,Bottom,1.897,1.036,0
C23,Bottom,1.121,1.038,180
C24,Bottom,0.847,1.040,0
R1,Bottom,4.273,1.571,90
R2,Bottom,3.997,1.571,90
R3,Bottom,3.223,1.559,90
R4,Bottom,2.945,1.565,90
R5,Bottom,2.172,1.564,90
R6,Bottom,1.897,1.560,90
R7,Bottom,1.130,1.540,90
R8,Bottom,0.846,1.549,90
R9,Bottom,4.274,0.765,90
R10,Bottom,3.998,0.764,90
R11,Bottom,3.226,0.772,90
R12,Bottom,2.948,0.771,90
R13,Bottom,2.174,0.769,90
R14,Bottom,1.899,0.771,90
R15,Bottom,1.122,0.770,90
R16,Bottom,0.847,0.771,90
R17,Bottom,2.846,1.286,0
R18,Bottom,1.767,1.292,0
R19,Bottom,0.725,1.268,0
R20,Bottom,3.857,0.495,0
R21,Bottom,2.799,0.575,0
R22,Bottom,1.737,0.495,0
R23,Bottom,0.719,0.491,0
R25,Bottom,3.866,1.294,0
U1,Bottom,4.134,1.293,270
U2,Bottom,3.084,1.286,270
U3,Bottom,2.034,1.289,270
U4,Bottom,0.998,1.268,270
U5,Bottom,4.131,0.486,270
U6,Bottom,3.082,0.466,270
U7,Bottom,2.034,0.497,270
U8,Bottom,0.984,0.494,270
